lon;lat;place
70;70;Vegetation regime shifts in Yamal-Nenets
-57.166621;51.196725;Collapse of Newfoundland cod fisheries, Northwest Atlantic
8.9978649;55.706931;Arctic mobility
-158.172212;59.015765;Potential Salmon Collapse
21.408901;48.117215;Tokaj wine region socialization
32.5825197;-27.6361355;Zululand Wetlands
14.279431;-22.115489;Northern Benguela Marine System
-76.1050092;37.5213728;Chesapeake Bay
34.299313;43.413048;Black Sea: Gelatinous Plankton Dominance
27.8591824;-25.7400652;Hartbeespoort Dam, South Africa
145.3973314;-36.3825998;Goulburn-Broken Catchment, Australia
-55.765835;-32.522778;Uruguay - Mixed ranching to intensive crop production
33.438353;-0.7557754;Lake Victoria
-124.508523;-8.783195;North Pacific Ocean
97.4263055;34.811516;Yellow River delta, China
-2.286388;53.317723;River Bollin, UK
-74.3460901;-7.5750028;Ucayali River, Peru
5.5722894;52.3473483;Lake Veluwemeer & Lake Wolderwijd, Netherlands
3.83;51.37;Dutch ditches, Netherlands
27.9717606;-16.9556508;Lake Kariba, Zimbabwe & Zambia
29.5153981;40.7544622;Izmit Bay, Turkey
-8.6611759;40.6373489;Aveiro Lagoon, Portugal
-8.0834409;40.3842882;Mondego River, Portugal
17.1545692;68.4227677;Tysfjord & Ofotfjord, Norway
10.4075608;59.2675699;Tonsbergfjord, Norway
19.9592997;69.2707575;Stolefjord, Norway
8.32;58.2;Steindalsfjord, Norway
10.2165948;59.1313095;Sondeledfjord, Norway
11.12;59.08;Singlefjord, Norway
10.2296636;59.1276159;Sandefjordsfjord, Norway
10.2068092;59.5973571;Sandebukta, Norway
9.47;58.85;Kragerofjord, Norway
9.62;59.1;Frierfjord, Norway
10.42;59.63;Drammensfjord, Norway
5.3366303;60.3796465;Arendal Fjord, Norway
-5.5869028;54.4893881;Strangford Lough Catchment, Ireland
-5.6;54.67;Inner Belfast Lough & Tidal Lagan, Ireland
57.552152;-20.348404;Mauritius
132.33;34.08;Hiroshima Bay, Japan
-6.9642151;52.2818886;Suir Estuary, Ireland
-6.4802461;52.3624165;Slaney Estuary, Ireland
-8.2;51.87;Owennacurra Estuary, Ireland
-8.3592268;51.8864656;Lough Mahon, Ireland
-8.99025;51.8725814;Lee estuary, Ireland
-8.44366;54.6311;Killybegs Harbour, Ireland
-9.0;52.7;Fergus Estuary, Ireland
-7.58;52.07;Dungarvan Harbour, UK
-7.6246684;52.1023322;Colligan River, Ireland
-6.22;53.99;Castletown Estuary, UK
-9.66;52.48;Cashen Estuary, UK
-6.17;53.47;Broadmeadow Estuary, UK
0.6333447;51.5362458;Blackwater Estuary, UK
-6.96;52.24;Barrow estuary, Ireland
-8.5;51.67;Bandon Estuary, Ireland
50.668945;41.934977;Caspian Sea, Iranian coast, Iran
-87.16;30.55;Estero la Jagua, Honduras
25.14;41.01;Porto Lagos Lagoon, Greece
20.6066054;39.3270613;Piges, Greece
-0.2200696;5.536425;Korle Lagoon, Ghana
-1.2590198;5.106807;Fosu Lagoon, Ghana
0.0216442;5.644398;Chemu Lagoon, Ghana
8.57;53.33;Weser Estuary, Germany
7.9128835;52.560946;Ems Estuary, Germany & Netherlands
2.3767763;51.0343684;Dunkerque, France
-3.920734;47.872834;Concarneau, France
2.036161;50.386436;Canche Estuary, France
1.858686;50.95129;Calais, France
1.613334;50.725231;Boulogne, France
-2.666931;48.653779;Baie de Sainte-Brieuc, France
-3.836688;48.612197;Baie de Morlaix, France
-3.58099;48.74375;Baie de Lannion, France
-2.295565;48.633524;Baie de la Fresnaye, France
-4.42;48.17;Baie de Douarnenez, France
-2.212795;48.581662;Baie d'Arguenon, France
-2.1945452;57.3804247;Ythan Estuary, UK
-5.03;50.17;Tresilian & Fal Estuaries, UK
-1.15;54.63;Tees Estuary, UK
-4.0995639;50.8897487;Tawe Estuary, UK
-4.0995639;50.8897487;Taw Estuary, UK
-0.7865667;50.7627064;Pagham Harbour, UK
-1.8241868;55.660989;Lindisfarne National Nature Reserve Area, UK
-1;50.8166667;Langstone Harbour, UK
-0.2765141;53.6339758;Humber Estuary, UK
-1.9912119;50.7247614;Holes Bay, UK
-4.9332546;55.5253989;Firth of Clyde Estuary, UK
-0.7784119;50.8394078;Chichester Harbour, England
-4.387352;5.2843538;Ebrie Lagoon, Cote d'Ivoire
3.0;51.33;Belgian continental shelf
-56.741207;-35.1944557;La Plata River Estuary, Argentina
64.33717;12.2501506;Western Indian Continental Shelf, India (Eastern Arabian Sea)
55.2921948;25.2285336;Dubai Creek, United Arab Emirates
121.4107189;25.1830309;Tanshui Estuary, Taiwan
11.1;59.3;Idefjord, Sweden and Norway
19.863281;58.487952;Northern Baltic Sea
18.78;59.47;Stockholm Inner Archipelago, Sweden
36.5866144;46.1564897;Sea of Azov
14.332644;40.901975;Himmerfjärden, Sweden
19.863281;58.487952;Gotland Basin, the Baltic Sea
11.22;59.03;Byfjord, Sweden
19.863281;58.487952;Arkona Basin, the Baltic Sea
-1.257156;60.467541;Sullom Voe, Scotland
-5.3429918;56.5282884;Loch Creran, Scotland
50.668945;41.934977;Caspian Sea
19.25;55;Gdansk Basin, Poland
